Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,
C11,0.1UF/50V,C_0603_1608Metric,72.39,-107.315,270,top,
C12,4.7UF/16V,C_0603_1608Metric,74.295,-107.315,270,top,
C13,22UF/25V,C_0805_2012Metric,119.38,-131.572,90,top,
C14,22UF/25V,C_0805_2012Metric,119.38,-127.508,90,top,
C21,0.1UF/50V,C_0603_1608Metric,73.025,-133.35,180,top,
C22,22UF/25V,C_0805_2012Metric,73.025,-135.255,180,top,
C23,1UF/50V,C_0805_2012Metric,73.025,-141.605,0,top,
C31,0.1UF/50V,C_0603_1608Metric,176.022,-139.065,90,top,
C32,0.1UF/50V,C_0603_1608Metric,173.482,-129.921,180,top,
C33,0.1UF/50V,C_0603_1608Metric,171.45,-127.635,180,top,
C34,0.1UF/50V,C_0603_1608Metric,173.99,-131.953,0,top,
C35,0.1UF/50V,C_0603_1608Metric,169.545,-130.937,90,top,
C41,0.1UF/50V,C_0603_1608Metric,99.2885,-120.396,0,top,
C42,0.1UF/50V,C_0603_1608Metric,163.195,-131.445,270,top,
C43,0.1UF/50V,C_0603_1608Metric,146.05,-131.445,270,top,
C45A1,0.1UF/50V,C_0603_1608Metric,144.78,-142.24,180,top,
C45B1,4.7UF/16V,C_0603_1608Metric,149.86,-142.24,0,top,
C46A1,0.1UF/50V,C_0603_1608Metric,104.14,-141.605,0,top,
C46B1,4.7UF/16V,C_0603_1608Metric,104.14,-139.7,0,top,
C51,4.7UF/25V,C_0805_2012Metric,111.76,-117.856,90,top,
C52,22UF/25V,C_0805_2012Metric,115.57,-108.585,90,top,
C53,22UF/25V,C_0805_2012Metric,115.57,-113.03,90,top,
C54,0.1UF/50V,C_0603_1608Metric,109.22,-107.95,90,top,
C55,100PF/50V,C_0805_2012Metric,106.045,-107.95,90,top,
C56,0.22UF/25V,C_0603_1608Metric,105.27,-101.6,180,top,
C57,0.1UF/50V,C_0603_1608Metric,107.315,-93.345,90,top,
C58,10UF/50V,C_1206_3216Metric,110.49,-93.345,90,top,
C59,0.1UF/50V,C_0603_1608Metric,113.665,-93.345,90,top,
C510,4.7UF/25V,C_0805_2012Metric,114.808,-117.856,0,top,
D1,B5819W,D_SOD-123,81.28,-97.79,180,top,xx
D11,RED,LED_0603_1608Metric,81.28,-101.6,180,top,xx
D41,RED,LED_0603_1608Metric,105.791,-130.429,0,top,xx
D42,GREEN,LED_0603_1608Metric,105.791,-132.334,0,top,xx
D43,BLUE,LED_0805_2012Metric,105.791,-134.239,0,top,xx
L5,6.8UH/530mA,L_1210_3225Metric,114.808,-121.412,90,top,
Q11,S8050,SOT-23,87.63,-104.775,90,top,xx
Q12,S8050,SOT-23,87.63,-97.155,270,top,xx
Q41,S8050,SOT-23,101.981,-129.794,180,top,xx
Q42,S8050,SOT-23,98.171,-132.334,180,top,xx
Q43,S8050,SOT-23,101.981,-134.874,180,top,xx
R11,10k,R_0805_2012Metric,88.9,-100.965,90,top,
R12,10k,R_0805_2012Metric,86.36,-100.965,270,top,
R17,1k,R_0805_2012Metric,73.406,-104.14,180,top,
R21,10k,R_0805_2012Metric,73.025,-139.065,0,top,
R22,10k,R_0805_2012Metric,132.08,-126.365,90,top,
R43,47,R_0805_2012Metric,100.33,-147.32,270,top,
R44,47,R_0805_2012Metric,114.3,-144.145,0,top,
R45,47,R_0805_2012Metric,139.7,-144.78,180,top,
R46,47,R_0805_2012Metric,153.67,-147.32,270,top,
R51,15K/0.1%,R_0805_2012Metric,105.41,-103.505,180,top,
R52,15K/0.1%,R_0805_2012Metric,109.22,-103.505,180,top,
R53,120K/0.1%,R_0805_2012Metric,96.52,-85.09,270,top,
R54,15K/0.1%,R_0805_2012Metric,99.06,-90.17,270,top,
R55,15K/0.1%,R_0805_2012Metric,99.06,-94.615,270,top,
R56,120K/0.1%,R_0805_2012Metric,104.775,-88.265,180,top,
R57,120K/0.1%,R_0805_2012Metric,111.76,-85.09,270,top,
R58,15K/0.1%,R_0805_2012Metric,122.555,-97.79,270,top,
R59,15K/0.1%,R_0805_2012Metric,122.555,-93.345,270,top,
R510,120K/0.1%,R_0805_2012Metric,122.555,-88.9,270,top,
RD41A1,150,R_0805_2012Metric,109.601,-129.794,0,top,
RD41B1,4.7K,R_0805_2012Metric,98.171,-129.159,180,top,
RD42A1,82,R_0805_2012Metric,109.601,-132.334,0,top,
RD42B1,4.7K,R_0805_2012Metric,94.615,-129.2625,90,top,
RD43A1,100,R_0805_2012Metric,109.601,-134.874,0,top,
RD43B1,4.7K,R_0805_2012Metric,98.171,-135.509,180,top,
SW2,RESET,SW_Push_1P1T_NO_6x6mm_H9.5mm,66.929,-140.335,90,top,xx
U1,CP2104,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,79.375,-106.045,180,top,xx
U2,ESP32-WROOM-32D,ESP32-WROOM-32,77.016,-120.65,0,top,xx
U3,SP3232,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm,170.942,-137.033,180,top,xx
U11,SRV05-4,SOT-23-6,75.565,-99.695,270,top,xx
U13,AMS1117-3.3,SOT-223,125.476,-129.54,180,top,xx
U41,74AHC04,TSSOP-14_4.4x5mm_P0.65mm,101.6,-116.332,270,top,xx
U42,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,155.575,-129.54,180,top,xx
U43,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,138.43,-129.54,180,top,xx
U45,TC4427,SOIC-8_3.9x4.9mm_P1.27mm,106.68,-146.05,90,top,xx
U46,TC4427,SOIC-8_3.9x4.9mm_P1.27mm,147.32,-146.05,90,top,xx
U51,DAC8562SDGSR,VSSOP-10_3x3mm_P0.5mm,100.965,-106.045,180,top,xx
U52,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,103.505,-93.345,180,top,xx
U53,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,117.475,-93.345,180,top,xx
